100 200
0 78 49
0 76 97
0 4 53
0 86 5
1 60 33
1 51 65
2 93 62
3 15 51
4 78 100
5 76 38
6 53 61
7 12 45
7 86 74
8 24 27
8 33 64
9 87 17
10 89 36
10 41 17
10 42 96
10 2 12
11 92 79
11 10 32
11 76 68
11 86 90
11 47 77
12 79 18
12 93 39
12 89 12
12 24 93
12 60 9
14 4 87
14 32 42
14 19 60
15 70 71
15 50 12
15 77 45
16 91 55
17 36 40
17 96 78
17 30 81
17 83 26
17 19 70
18 39 61
18 89 56
19 4 66
19 71 33
21 57 7
22 26 70
23 7 1
24 23 11
24 31 92
24 89 51
24 70 90
26 77 100
26 98 85
26 87 80
27 64 0
27 86 78
27 1 63
28 5 42
28 9 31
30 18 93
30 28 41
31 93 90
32 68 8
32 15 24
33 65 72
33 7 28
33 8 30
33 45 18
33 71 69
34 14 57
34 42 11
35 57 10
35 2 40
36 56 65
36 86 62
37 90 13
37 23 38
37 1 70
38 61 37
38 70 90
38 35 15
39 83 70
39 49 42
39 59 69
40 78 26
40 65 77
40 0 70
40 46 75
41 90 36
42 60 56
42 69 11
42 54 76
42 20 49
43 67 40
43 47 73
44 55 30
45 74 37
45 55 23
45 49 24
45 78 23
45 75 4
47 21 78
47 68 84
48 90 33
48 75 60
49 97 8
49 40 11
50 90 86
50 25 96
50 80 16
51 90 19
51 89 4
53 5 10
53 4 89
56 66 69
57 63 87
57 67 50
58 94 90
60 8 67
61 26 35
62 51 66
62 13 30
62 75 27
62 71 86
63 42 75
63 41 53
63 91 74
64 59 35
66 30 57
66 83 63
67 35 84
67 78 82
68 77 89
69 57 45
69 87 10
69 54 41
69 35 78
70 61 14
70 1 62
70 75 75
71 12 80
72 28 42
72 21 24
72 65 31
72 53 2
72 5 93
73 30 34
73 81 14
74 35 90
75 53 28
76 56 47
77 73 21
77 2 42
77 96 54
77 83 7
78 14 12
79 12 100
80 42 18
81 26 89
81 24 28
81 79 5
81 57 73
81 10 81
81 55 68
82 38 77
82 44 87
82 58 9
83 10 3
83 25 15
84 33 81
84 82 24
84 32 77
85 80 73
85 22 15
86 2 50
86 72 11
86 53 47
87 9 14
87 52 4
88 1 77
88 23 2
89 45 24
89 86 23
89 20 91
90 77 15
90 28 61
90 5 26
91 15 93
91 96 7
92 16 86
93 7 2
93 60 69
94 5 54
95 53 79
95 89 12
96 16 33
97 61 8
98 84 28
