10000 60000
0 4971 81
0 5549 14
0 4408 3
1 8607 94
1 6814 35
1 5384 31
1 6156 28
1 5290 17
1 439 94
1 9570 13
2 1489 86
2 2196 94
2 112 69
2 1571 11
2 5638 75
2 2523 54
2 6598 4
3 567 3
3 2403 11
3 3149 27
3 5043 29
3 8879 64
3 9821 77
3 4023 3
3 5790 71
4 7617 25
4 2234 91
5 1226 83
5 4951 89
5 424 69
5 1110 53
5 9029 28
6 7695 57
6 6354 75
6 2425 35
7 4680 0
7 2792 97
7 5442 20
7 6845 89
7 792 54
8 854 43
8 4124 35
8 2246 19
8 9114 27
8 4521 97
8 8821 43
8 6092 13
9 9813 11
9 8265 48
9 4705 12
9 9002 45
9 566 44
9 7813 77
10 817 33
10 6530 5
10 1354 93
10 6866 58
10 8699 68
10 6167 15
11 5435 48
11 8289 10
11 7598 70
11 8536 37
11 1017 80
12 2160 79
12 9251 46
12 7874 73
12 2657 24
12 7307 90
13 9175 8
13 3268 5
13 6614 84
14 5616 29
14 7415 98
14 1603 37
15 3786 10
15 7536 29
15 2405 12
15 9470 48
16 8000 35
16 7705 58
16 3037 81
16 7012 46
16 3189 20
17 2762 47
17 3801 45
17 1646 26
17 2068 85
18 2445 34
18 2813 89
18 785 87
19 7069 82
19 3675 9
19 884 77
19 768 81
19 4267 21
19 2190 68
19 1873 93
19 8220 31
19 9902 20
19 1766 59
20 3516 48
20 2217 34
20 907 81
20 1645 88
20 8805 71
20 8375 28
21 5596 87
21 6329 41
21 7447 98
21 2546 99
22 5692 7
22 1749 29
22 8573 4
22 8722 40
23 6164 51
23 1877 34
23 7881 8
23 8023 27
23 2080 72
23 1053 91
23 4907 40
23 8275 27
23 2077 83
24 8840 63
24 3272 50
24 2286 82
24 9208 58
24 1329 18
24 3841 33
24 3335 17
24 7926 31
24 645 95
24 5214 71
24 6621 68
24 4885 33
25 5780 95
25 1587 74
25 7323 54
25 935 74
25 5233 51
25 157 46
26 1815 28
26 8325 17
26 4166 65
26 9738 63
26 2644 11
27 8518 96
27 5092 6
27 8985 14
27 6772 19
27 3688 80
27 5776 20
28 5609 87
28 3983 54
28 9635 76
29 9076 8
29 3197 49
29 5905 48
30 4924 76
30 5904 59
30 4289 67
30 773 32
30 6973 70
30 6967 1
30 3285 87
30 97 92
31 722 14
31 5820 87
31 1075 68
31 159 96
31 8011 34
32 998 98
32 6704 82
32 2156 43
32 2795 14
32 603 37
32 4289 55
33 9974 20
33 952 58
33 7989 0
33 2973 92
33 8908 92
33 7104 33
33 5987 64
33 6718 97
33 1015 22
33 9199 64
34 1001 13
34 1895 80
34 5869 38
34 8622 81
34 6407 64
35 6396 77
35 5592 25
35 2435 19
35 376 47
35 1312 97
36 9319 20
36 7045 69
36 6162 99
36 2273 67
36 7255 0
36 9932 76
37 6534 41
37 3509 62
37 1573 2
37 229 14
38 4632 46
38 609 39
39 1756 30
39 7960 7
39 2532 30
39 3300 72
39 2986 10
39 4463 10
40 2523 93
40 6290 62
41 5693 8
41 3650 97
41 9717 68
41 124 98
42 645 16
42 2078 16
42 435 84
42 6224 60
42 8248 70
43 3079 21
43 7732 33
43 8644 67
43 8739 77
43 5162 54
43 7385 27
44 208 69
44 1713 96
44 3060 93
44 828 88
44 1851 25
44 1594 91
44 9199 39
44 6917 51
44 5264 85
45 6859 83
45 1941 47
45 4861 56
46 4542 66
46 3443 57
46 3119 15
46 3406 31
46 3787 28
46 7325 8
47 9464 43
47 7939 2
47 5517 75
48 463 70
48 5930 29
48 519 75
48 8481 28
49 5161 0
49 9912 9
49 1623 90
49 7741 80
49 4985 7
49 5976 29
50 6564 8
50 7486 4
50 5361 42
50 7099 9
50 3501 65
50 8126 30
50 4080 35
50 8944 85
50 6842 62
50 1922 27
50 1154 69
51 5278 16
51 3233 92
51 1567 73
52 5098 73
52 4011 60
52 5471 31
52 8628 100
52 3868 60
52 7042 52
52 7345 24
52 8509 12
52 8511 12
52 8620 84
52 5978 55
53 1090 45
53 5378 54
53 8070 52
53 1282 59
53 7495 93
53 9659 6
54 6298 86
54 8727 83
54 8120 82
54 7033 12
54 1057 7
54 1462 51
54 9769 93
54 2055 43
54 5837 13
55 2442 31
55 2791 24
55 3836 24
55 3247 68
56 3396 57
57 4146 17
57 6063 54
57 661 23
57 6854 35
57 5639 59
57 2420 31
57 4558 9
57 2494 56
57 3804 70
57 2971 12
57 7687 6
58 5074 83
58 9606 69
58 838 1
58 9459 11
58 6510 96
58 4617 30
58 923 21
59 3253 52
59 2956 62
59 9928 61
59 283 27
59 693 51
60 7287 7
60 9900 21
60 5389 48
60 3232 0
61 6444 49
61 5693 33
61 1479 100
61 3470 100
61 9779 58
61 2765 36
61 2103 54
61 7688 89
61 9309 93
62 7005 100
62 5546 71
62 7429 84
62 8450 91
62 8477 62
62 6469 19
62 4230 24
63 5271 37
63 9064 27
63 182 7
63 4523 74
63 4136 94
63 1779 69
63 3344 7
64 2148 95
64 7316 40
64 3472 7
64 6543 6
64 8662 74
64 1674 61
64 9998 64
65 1209 67
65 7605 20
65 6564 7
65 1227 65
66 1199 10
66 7704 23
66 2378 8
66 6842 76
66 5732 8
66 7997 86
66 7230 30
67 5095 51
67 9232 15
67 1520 72
67 5483 31
67 4721 74
68 210 76
68 6792 5
68 5042 79
68 9211 10
69 6688 53
69 1893 84
69 5157 74
69 9502 72
69 5636 66
69 4728 40
69 8403 33
69 9617 26
69 3824 85
70 1616 91
70 8695 40
70 5997 30
70 1395 33
70 2647 50
70 3316 16
70 6312 85
70 9180 82
70 1974 38
70 7720 58
71 8689 40
71 1848 96
71 4205 9
71 782 1
71 8946 58
71 2988 79
71 2938 72
71 5820 12
71 6820 9
72 7869 68
72 8918 27
72 6882 64
72 7731 33
72 7664 16
72 9023 44
72 5177 8
72 8222 31
72 1895 47
72 2535 36
73 317 20
73 9481 56
73 7160 69
73 9677 90
73 5268 38
73 6564 78
73 1319 83
74 616 67
74 8569 1
74 4406 85
74 2241 70
74 1131 38
74 100 84
74 6965 13
74 1197 17
74 8830 33
74 8276 14
74 6800 13
75 7927 95
75 11 70
76 4277 19
76 797 34
76 5355 36
76 5621 77
76 2218 26
76 5587 91
76 9938 43
76 6396 26
77 925 87
77 5015 81
77 8482 33
77 9972 64
77 2105 62
78 522 32
78 3959 6
78 8686 11
78 968 81
78 2684 54
78 3547 35
78 6715 5
78 6449 0
78 7334 42
78 4934 98
78 7837 16
79 55 81
79 4913 33
79 8402 20
79 9258 94
80 2354 56
80 4828 70
80 3146 90
80 1224 54
81 8647 71
81 7063 1
81 9411 14
81 5751 9
81 9065 88
81 3243 19
82 9383 69
82 957 4
82 2055 47
82 2385 74
82 9740 70
83 6194 18
83 1573 55
83 8537 16
83 1895 5
84 9016 39
84 6420 46
84 56 5
84 5783 45
84 1250 26
84 6575 87
84 2424 31
85 7424 85
85 5891 13
85 5128 45
85 6259 99
85 4654 71
85 2892 52
86 1492 79
86 3622 95
86 8875 19
86 211 30
86 6793 20
86 6460 22
87 4155 52
87 4663 3
87 1101 22
87 6445 94
87 2550 42
88 5951 100
88 5578 52
88 8091 85
88 5583 94
88 9536 31
88 7653 34
88 808 20
88 2181 100
89 7352 89
89 291 13
89 1347 48
89 9065 4
89 1716 60
89 4161 28
90 1746 25
